id_cliente,nombre_cliente,ciudad,fecha_registro,edad,plan_contratado,antiguedad_meses,uso_datos_gb,num_llamadas_soporte,cargo_mensual,satisfaccion_cliente,valor_vida_cliente,abandono
NC-00072,Manuel Bayo Gutierrez,Melilla,2022-06-23,67,Estandar,48,39.0,5,55.04,4,2635.63,Si
NC-00073,Azeneth Hoz Ariño,Jaén,2023-02-03,57,Basico,41,18.6,1,33.53,6,1771.89,No
NC-00074,Anita Hortensia Yáñez Molina,Tarragona,2024-07-12,21,Basico,24,20.7,1,32.17,8,1135.57,No
NC-00075,Cristian Miralles-Gómez,La Rioja,2026-03-22,19,Estandar,3,41.0,1,61.82,6,143.15,Si
NC-00076,Hector Castro-Marín,Badajoz,2026-01-17,23,Estandar,6,41.5,3,53.06,5,295.15,Si
NC-00077,Estela Belmonte Agustí,Las Palmas,2023-04-23,71,Estandar,38,35.4,1,56.3,8,2786.4,No
NC-00078,María Ángeles Cabo Beltrán,Córdoba,2022-03-30,59,Basico,51,13.6,2,36.81,6,2277.44,No
NC-00079,Clotilde del Cazorla,Ourense,2025-10-09,21,Estandar,9,47.3,2,52.96,7,501.51,Si
NC-00080,Vera Bayona Hidalgo,Salamanca,2023-05-09,71,Basico,38,14.3,3,26.41,6,1328.99,No
NC-00081,Elodia Cruz Ríos,Soria,2023-05-15,46,Estandar,38,36.8,3,59.68,6,2970.08,No
NC-00082,Ofelia del Ángel,Valladolid,2022-12-05,35,Estandar,43,39.8,1,60.41,7,3260.43,No
NC-00083,Nazario Marí Calleja,La Rioja,2023-04-05,43,Estandar,39,48.9,1,57.45,8,2920.98,No
NC-00084,Eligio Carlos Campo,Cádiz,2026-05-23,61,Estandar,1,,5,56.92,5,72.55,Si
NC-00085,Calixta del Luján,Navarra,2025-11-16,51,Estandar,8,39.3,2,61.6,7,1209.92,No
NC-00086,Clementina Paca Novoa Frutos,Córdoba,2021-12-10,27,Basico,55,,5,35.85,4,1937.25,Si
NC-00087,José Antonio Torres-Iglesias,Ourense,2025-02-21,53,Estandar,16,51.6,2,54.81,8,873.27,Si
NC-00088,Arturo Roda Lloret,Vizcaya,2023-09-22,31,Basico,33,14.0,0,33.22,7,1106.31,Si
NC-00089,Abel Múgica Castrillo,Valencia,2026-06-20,48,Estandar,1,32.8,1,65.84,8,795.92,No
NC-00090,Cecilio Sala-Roma,Sevilla,2025-07-10,65,Estandar,12,35.2,3,57.94,6,1431.18,No
NC-00091,Adelia de Benet,Valencia,2022-12-12,32,Estandar,43,50.5,3,54.65,6,2968.28,No
NC-00092,Leandro Araujo Peiró,León,2025-07-13,25,Estandar,12,60.3,5,55.4,4,652.12,Si
NC-00093,Mamen Colomer-Ropero,Badajoz,2026-05-10,31,Premium,2,63.7,2,90.57,5,216.58,Si
NC-00094,Alfonso Mendez Pastor,Málaga,2023-08-16,40,Premium,35,68.1,2,96.99,8,4562.29,No
NC-00095,Vinicio Pallarès Gallo,Zamora,2025-12-26,74,Basico,6,14.3,1,31.23,9,595.02,No
NC-00096,Nazario de Otero,Zaragoza,2022-03-14,57,Basico,52,15.4,3,32.49,5,1736.09,Si
NC-00097,Verónica del Cortes,Cáceres,2024-06-09,38,Basico,25,18.1,3,26.83,7,948.92,No
NC-00098,Toni de Elorza,Santa Cruz de Tenerife,2021-12-07,33,Basico,55,11.4,4,36.06,6,2010.36,Si
NC-00099,Aitana Escobar Márquez,Zaragoza,2022-07-17,62,Estandar,48,29.4,5,52.21,4,3172.36,No
NC-00100,Rosario Hurtado Lasa,Burgos,2023-11-17,35,Premium,32,92.8,0,91.76,9,4026.17,No
NC-00101,Rufino Campoy Piñeiro,Pontevedra,2025-11-03,64,Basico,8,14.0,0,34.55,8,267.51,Si
NC-00102,Timoteo Sosa Girón,Ávila,2026-06-09,70,Basico,1,18.7,5,21.67,6,224.32,No
NC-00103,Sebastian Seguí,Córdoba,2021-10-31,41,Basico,56,16.9,0,32.56,9,2237.51,No
NC-00104,Encarnación Goñi Gisbert,Huesca,2026-04-22,43,Estandar,2,45.6,5,54.36,5,50.0,Si
NC-00105,Narciso Ferrando Pujadas,Pontevedra,2025-04-14,42,Estandar,15,39.0,5,58.98,5,913.76,Si
NC-00106,Eligia Baños Lorenzo,Toledo,2021-12-11,62,Basico,55,24.4,3,30.68,7,2013.03,No
NC-00107,Miguela Vergara Pulido,La Coruña,2023-07-21,58,Premium,35,73.2,0,102.85,8,4875.67,No
NC-00108,Eusebia de Carlos,Teruel,2026-01-28,46,Estandar,5,46.1,0,57.64,8,300.09,Si
NC-00109,Chuy Lara-Arenas,Vizcaya,2023-07-30,32,Basico,35,9.9,3,40.2,6,1919.67,No
NC-00110,Marc Rovira Ojeda,Santa Cruz de Tenerife,2024-04-13,62,Estandar,27,29.3,2,60.86,8,2349.16,No
NC-00111,Isa Vidal Carlos,León,2025-01-20,18,Estandar,17,33.9,4,54.38,6,884.46,Si
NC-00112,Ximena Falcón Iñiguez,Cantabria,2025-04-12,42,Basico,15,21.5,2,33.8,8,859.69,No
NC-00113,Paulino Rubio Abellán,Cantabria,2022-03-10,24,Basico,52,16.1,1,30.09,6,1958.5,No
NC-00114,Ángela Figueras,Zamora,2022-06-07,26,Basico,49,12.6,4,32.47,5,2000.56,No
NC-00115,Irene Becerra Murillo,Salamanca,2023-05-31,41,Basico,37,16.5,0,28.08,8,1396.87,No
NC-00116,Estefanía Narcisa Casanovas Mas,Soria,2024-04-09,18,Premium,27,90.7,0,102.52,7,2776.78,Si
NC-00117,Esmeralda Real,Huesca,2021-09-18,61,Premium,57,80.2,1,97.65,8,6754.17,No
NC-00118,Graciana Marqués Castejón,Segovia,2025-08-20,25,Basico,10,9.4,2,31.1,5,675.45,No
NC-00119,Humberto Pinilla,Cáceres,2025-09-04,41,Basico,10,20.8,1,40.73,9,907.17,No
NC-00120,Mario Mascaró Ramis,Cuenca,2023-01-09,28,Basico,42,15.8,5,31.95,6,1316.19,Si
NC-00121,Serafina de Mateu,Huelva,2024-04-19,68,Basico,26,23.7,5,37.86,4,974.08,Si
NC-00122,Cruz Ildefonso Montserrat Sola,La Coruña,2023-10-27,34,Premium,32,108.8,3,96.07,6,4318.38,No
NC-00123,Isaura García Vicente,Melilla,2021-08-21,25,Basico,58,17.2,3,33.69,7,2359.47,No
NC-00124,Rosalina Doménech Blazquez,Valencia,2021-07-07,52,Basico,60,13.3,3,30.92,6,2167.09,No
NC-00125,José Ángel Natanael Naranjo Bueno,Ávila,2022-10-25,52,Basico,44,10.6,5,31.54,5,1375.5,Si
NC-00126,Nicodemo del Gomila,Toledo,2026-04-14,50,Estandar,3,37.8,2,59.63,6,862.72,No
NC-00127,Candelario Amat,Huelva,2025-09-04,22,Basico,10,10.5,1,27.7,7,614.18,No
NC-00128,Donato Talavera Beltran,Ceuta,2023-11-13,59,Estandar,32,46.5,0,57.64,9,2509.48,No
NC-00129,Herminia Ferreras Plana,Lleida,2024-10-09,56,Basico,21,21.5,0,31.07,9,646.12,Si
NC-00130,Gloria Hervás Coloma,Ourense,2025-12-19,58,Estandar,6,37.4,3,59.89,4,337.14,Si
NC-00131,Victoriano Campillo Rodríguez,Córdoba,2023-08-04,45,Estandar,35,49.4,1,59.79,9,2816.05,No
NC-00132,Chus del Ayllón,La Rioja,2023-12-18,24,Basico,31,12.2,5,37.09,4,1576.05,No
NC-00133,Diana de Sastre,Navarra,2024-12-10,26,Basico,19,13.8,2,35.62,8,1114.93,No
NC-00134,Salvador Sobrino Molins,Málaga,2022-09-23,25,Premium,45,73.7,3,91.39,7,4171.01,Si
NC-00135,María José Vargas Roldan,Guipúzcoa,2022-02-06,29,Premium,53,47.3,6,96.64,3,5087.29,Si
NC-00136,Itziar de Taboada,Zaragoza,2022-11-21,51,Estandar,43,39.6,0,68.33,10,2959.91,Si
NC-00137,Dora Huertas Lluch,Murcia,2026-06-23,50,Estandar,1,41.3,0,48.91,8,50.0,Si
NC-00138,Julieta Haro,Tarragona,2021-11-01,65,Premium,56,111.3,0,100.79,9,6846.74,No
NC-00139,Isidro Berenguer-Macias,Jaén,2025-03-26,72,Estandar,15,48.0,2,56.34,6,1528.05,No
NC-00140,Elías del Montenegro,Vizcaya,2024-05-29,40,Basico,25,18.2,3,35.82,6,873.06,Si
NC-00141,Anita de Contreras,Valladolid,2024-05-01,41,Premium,26,70.5,1,98.24,6,2500.62,Si
NC-00142,Gregorio de Gargallo,Vizcaya,2025-11-05,54,Basico,8,16.8,1,27.3,8,544.86,No
NC-00143,Hipólito Ramón Muro,Soria,2024-08-23,52,Estandar,22,55.8,2,51.32,8,1175.0,Si
NC-00144,Josefa del Barrios,Palencia,2023-11-19,61,Basico,31,16.5,1,35.83,9,1536.3,No
NC-00145,Sigfrido Rivera,Lugo,2024-12-22,57,Basico,18,22.3,2,32.91,6,1004.06,No
NC-00146,Yolanda Aller Pintor,Córdoba,2022-02-06,39,Basico,53,,3,23.97,7,1304.22,Si
NC-00147,Adelaida Ortiz Martín,Jaén,2024-01-25,44,Estandar,29,37.3,3,71.38,6,2144.16,Si
NC-00148,Tamara Rius Giménez,Soria,2024-05-19,52,Basico,25,,2,34.34,8,826.93,Si
NC-00149,Constanza Llamas Ruano,Zaragoza,2025-09-24,18,Basico,9,12.0,3,34.55,5,282.48,Si
NC-00150,Albina Porcel Navarrete,La Rioja,2022-04-26,52,Basico,50,8.9,2,37.72,5,1877.23,Si
NC-00151,Paloma Dalmau Solsona,Melilla,2021-10-17,54,Estandar,57,34.8,4,55.58,6,3853.48,No
NC-00152,María Amores Prada,Tarragona,2023-02-07,64,Premium,41,114.2,5,97.07,4,3910.25,Si
NC-00153,Marcela Amores-Blanes,Ciudad,2025-11-23,31,Estandar,7,18.0,2,50.2,7,973.41,No
NC-00154,Bernarda Serrano Espada,Ávila,2022-03-07,20,Estandar,52,29.6,2,219.68,7,3519.33,No
NC-00155,Eladio Pinilla Morán,Soria,2022-04-27,18,Premium,50,87.5,0,95.68,8,5916.14,No
NC-00156,Javi Morillo,Asturias,2022-11-13,22,Estandar,44,31.2,3,49.79,7,2801.01,No
NC-00157,Pía Pinilla Lobo,Lugo,2023-08-08,43,Basico,35,12.9,3,28.11,4,1010.54,Si
NC-00158,Dolores Bilbao Sosa,Huelva,2026-01-24,72,Basico,5,13.0,1,26.66,9,484.06,No
NC-00159,Reinaldo Azorin Olmo,Ourense,2023-04-14,31,Basico,39,14.0,0,32.11,8,1638.05,No
NC-00160,Moreno de Arjona,Cádiz,2022-12-14,56,Basico,43,12.1,1,34.08,9,1884.18,No
NC-00161,Duilio Flores Almagro,Madrid,2024-02-25,44,Basico,28,11.8,1,34.89,7,1404.25,No
NC-00162,Calista Dafne Cases Sáenz,Ciudad,2026-03-09,26,Estandar,4,49.3,1,64.92,7,296.62,Si
NC-00163,Lope Gibert Sola,Córdoba,2024-01-27,32,Basico,29,19.2,2,38.78,7,1601.42,No
NC-00164,Rodolfo Peinado-Diez,Ceuta,2025-05-03,32,Estandar,14,26.2,4,60.66,6,868.6,Si
NC-00165,María Dolores Piedad Carbó Céspedes,Ciudad,2022-06-02,43,Estandar,49,12.4,2,65.68,6,4033.26,No
NC-00166,Baltasar Luis Miguel Amigó Mesa,Burgos,2021-12-22,59,Basico,54,19.3,3,32.53,7,2205.74,No
NC-00167,Nicolasa Perez-Puente,Baleares,2025-04-08,30,Premium,15,65.4,2,90.67,6,2430.52,No
NC-00168,Anselmo Herrero,Soria,2024-03-22,68,Estandar,27,42.1,5,62.25,4,1729.52,Si
NC-00169,Pablo Mata Carrillo,Salamanca,2025-11-12,49,Basico,8,,6,29.79,6,669.93,No
NC-00170,Ricarda Armengol-Olivera,Valladolid,2025-08-21,56,Estandar,10,53.0,3,69.56,6,679.94,Si
NC-00171,Inés del Bayón,Lugo,2024-12-05,66,Estandar,19,65.4,2,67.19,7,2076.39,No
NC-00172,Miriam Nogueira,Salamanca,2023-01-04,69,Estandar,42,41.8,2,62.93,5,2630.21,Si
NC-00173,Teobaldo Rivera Trillo,Madrid,2024-12-06,49,Estandar,19,39.1,3,59.57,7,1866.38,No
NC-00174,Inocencio Paredes Segura,Madrid,2024-12-11,21,Estandar,19,36.8,0,56.64,10,1699.99,No
NC-00175,Isaac Echeverría Vélez,Valladolid,2021-12-25,47,Estandar,54,47.8,1,63.29,7,4162.16,No
NC-00176,Mario Tomás-Sola,La Coruña,2024-05-27,54,Basico,25,17.3,4,26.09,7,957.12,No
NC-00177,Sara Ledesma Mora,Valladolid,2025-08-15,40,Basico,11,19.0,2,39.57,7,899.28,No
NC-00178,Severo de Lorenzo,Almería,2021-07-26,56,Basico,59,12.5,1,30.36,8,2144.43,No
NC-00179,Daniela Sobrino Pinilla,Lugo,2024-02-04,62,Estandar,29,43.4,1,60.87,9,2480.99,No
NC-00180,Albina Urrutia Morcillo,Málaga,2023-05-15,32,Basico,38,12.8,2,26.73,7,1359.82,No
NC-00181,Jose Francisco Garay Pacheco,La Coruña,2023-12-05,60,Premium,31,68.8,3,95.49,5,2976.34,Si
NC-00182,Francisco Losa-Llorente,Lleida,2023-03-16,46,Estandar,40,39.6,1,56.69,8,2998.98,No
NC-00183,Adelina de Boada,Tarragona,2026-01-22,53,Premium,5,71.5,2,95.4,7,1645.2,No
NC-00184,Plácido del Torres,Guadalajara,2022-01-06,30,Premium,54,113.5,5,100.14,5,5374.63,Si
NC-00185,Purificación de Tamayo,Álava,2022-04-11,49,Premium,51,72.8,0,89.04,8,5604.42,No
NC-00186,Jacinta Alemany Buendía,Jaén,2022-08-10,24,Premium,47,97.3,5,89.11,3,4179.88,Si
NC-00187,Dan Hermenegildo Hervia Medina,Guadalajara,2022-06-12,68,Basico,49,12.6,2,38.92,10,2381.78,No
NC-00188,Flor Sáenz-Núñez,Salamanca,2025-12-27,39,Estandar,6,42.8,1,58.32,7,1082.56,No
NC-00189,Petrona Muro Ortiz,Cádiz,2024-07-27,45,Basico,23,12.9,1,32.41,8,751.01,Si
NC-00190,Elba Medina Iglesias,Ciudad,2025-08-29,19,Basico,10,10.0,3,33.43,7,741.11,No
NC-00191,Benito de Moles,Lugo,2024-02-18,59,Estandar,28,44.8,2,53.21,8,2128.7,No
NC-00192,Ramiro Esteve Feliu,Huesca,2024-03-01,62,Estandar,28,37.6,1,61.07,7,2467.12,No
NC-00193,Rafael Tomé,Madrid,2024-04-04,74,Basico,27,16.1,2,32.11,5,849.9,Si
NC-00194,Porfirio Zamorano-Luna,Castellón,2025-04-14,70,Estandar,15,35.7,4,55.35,5,786.54,Si
NC-00195,Sigfrido Ferrera Marti,Tarragona,2022-01-27,23,Premium,53,63.4,2,85.56,7,5580.74,No
NC-00196,Geraldo de Mate,Huesca,2023-10-22,45,Estandar,32,50.8,2,63.11,7,2030.78,Si
NC-00197,Paulino Castañeda Lledó,Cuenca,2021-11-19,45,Estandar,55,47.4,3,65.38,7,4420.16,No
NC-00198,Amando Manzano Cases,Cádiz,2025-08-07,61,Premium,11,78.7,2,93.76,7,2083.64,No
NC-00199,Aroa Alberola Luís,Ourense,2026-02-14,61,Premium,5,91.4,3,86.97,7,431.84,Si
NC-00200,Julia Saez Niño,Badajoz,2023-11-26,37,Estandar,31,50.4,3,54.75,5,1700.45,Si
NC-00201,Amancio Iriarte Tejedor,Zaragoza,2023-01-23,47,Premium,41,80.9,2,90.93,5,3682.8,Si
NC-00202,Segismundo Bas Pérez,Navarra,2023-04-26,28,Premium,38,84.0,3,101.22,6,5058.4,No
NC-00203,Angelina Baeza Cordero,Jaén,2025-08-03,72,Premium,11,94.9,4,93.26,4,1061.47,Si
NC-00204,Santiago Mateu Blázquez,Burgos,2025-12-14,45,Basico,7,13.2,2,28.98,6,265.44,Si
NC-00205,Benigno del Gonzalez,Lugo,2024-06-28,42,Basico,24,18.4,0,23.47,10,874.39,No
NC-00206,Fortunata Sanjuan,Cádiz,2025-04-28,56,Basico,14,14.3,3,28.15,7,722.17,No
NC-00207,Emma Romeu Mayoral,Madrid,2023-03-19,50,Basico,40,11.9,3,25.03,6,1039.05,Si
NC-00208,María Teresa Barrena-Cabezas,Santa Cruz de Tenerife,2025-01-19,18,Estandar,17,46.1,2,54.59,7,1610.45,No
NC-00209,Matías Galván,Zamora,2021-08-24,74,Estandar,58,28.6,4,58.46,5,4077.67,No
NC-00210,Natalio Bertrán-Crespo,Granada,2025-07-30,44,Premium,11,130.3,4,96.02,6,2191.01,No
NC-00211,Chema de Crespi,Navarra,2022-08-13,74,Basico,47,21.3,4,40.63,4,1904.55,Si
NC-00212,Hernando Sanjuan Soriano,La Coruña,2025-10-15,69,Premium,9,100.3,4,100.42,3,872.25,Si
NC-00213,Alcides David Maldonado Luna,Tarragona,2022-03-20,30,Estandar,51,44.3,2,56.39,6,3543.25,No
NC-00214,Andrea Guillen Lamas,Almería,2022-08-20,58,Estandar,46,43.8,1,54.8,8,3193.0,No
NC-00215,Nadia Figuerola-Rodríguez,Córdoba,2022-02-17,20,Premium,52,80.2,0,99.93,10,6426.68,No
NC-00216,Lalo Gomila Company,Santa Cruz de Tenerife,2022-02-25,56,Estandar,52,43.0,4,67.6,6,4315.03,No
NC-00217,Severiano Cisneros-Bellido,León,2021-11-23,23,Basico,55,,3,20.16,7,1392.37,No
NC-00218,Celestino Meléndez Malo,Córdoba,2024-12-16,25,Premium,19,100.1,0,95.47,8,2979.07,No
NC-00219,Beatriz Solís Mateu,Huesca,2025-06-04,44,Basico,13,18.5,0,30.59,7,785.62,No
NC-00220,Elena Vall Uribe,Huelva,2021-11-22,26,Basico,55,13.5,7,34.6,4,2290.63,No
NC-00221,Anita Ariño Rosales,La Rioja,2025-05-18,54,Premium,14,78.1,2,102.52,8,1489.51,Si
NC-00222,María Del Carmen Ibáñez Amigó,Huelva,2025-04-16,50,Basico,15,10.2,8,28.6,2,445.6,Si
NC-00223,Darío Almansa Leon,Ourense,2021-09-18,68,Estandar,57,54.6,0,50.16,8,3451.06,No
NC-00224,Almudena Díez-Sosa,Vizcaya,2022-01-15,59,Basico,54,12.9,2,34.19,7,2241.27,No
NC-00225,Modesta Salamanca,Huelva,2025-06-20,61,Premium,12,86.0,0,100.55,9,1197.29,Si
NC-00226,Cipriano Ruano-Téllez,Soria,2024-01-27,41,Basico,29,16.2,1,30.1,8,1203.55,No
NC-00227,Joel Oliveras Real,Vizcaya,2021-10-19,32,Premium,56,95.6,6,91.03,4,5127.33,Si
NC-00228,Estrella Calvo Cuevas,Ávila,2022-02-05,71,Estandar,53,47.5,1,57.56,8,3713.92,No
NC-00229,Guiomar Valbuena Maldonado,Salamanca,2022-10-08,49,Basico,45,13.5,2,35.6,7,2037.89,No
NC-00230,Ruth Arco Sanz,Lleida,2021-11-01,49,Estandar,56,28.6,1,55.59,8,3766.62,No
NC-00231,Fausto Iniesta Morales,Cáceres,2024-11-03,41,Premium,20,63.7,1,93.01,7,1880.32,Si
NC-00232,Rolando Quintero Vilar,La Rioja,2025-04-11,58,Estandar,15,34.2,5,58.56,6,902.6,Si
NC-00233,Nando Sevilla Reyes,Asturias,2025-06-01,69,Basico,13,11.2,5,30.74,6,749.18,No
NC-00234,Ciríaco Villegas Pardo,Cáceres,2026-02-08,66,Estandar,5,37.0,3,62.21,5,310.03,Si
NC-00235,Prudencia Leticia Salamanca Aznar,Ceuta,2022-07-13,66,Estandar,48,53.1,2,57.92,6,3431.9,No
